player_id,reconstruction_error,impact_score,ppg,apg,rpg,fg_pct,usage_proxy
Mike Novak,4.508252008624124,5.0512,3.36,1.4,0.016,0.31021194605009633,892.6800000000001
Bill Russell,1.5032612790611548,35.90446521287643,15.079958463136034,4.257528556593977,22.45067497403946,0.43982985305491107,13.61306683691008
Clarence Hermsen,1.4836128741611923,11.927430555555555,9.26736111111111,1.2708333333333333,1.6215277777777777,0.29663891458526054,2174.028387096774
Dennis Rodman,1.4642914515784535,18.628759604829852,7.33589462129528,1.756311745334797,13.1218441273326,0.5209039548022599,7.6347612607926765
Wilt Chamberlain,1.3811660840034532,51.42334928229665,30.06602870813397,4.443062200956938,22.89377990430622,0.5396859173511512,21.600661944461855
Magic Johnson,1.3740057480743875,38.04359823399558,19.544150110375277,11.193156732891833,7.239514348785872,0.5197054639779098,15.728681004662356
Moses Malone,1.1539652085522103,30.78449962377728,20.62377727614748,1.3513920240782544,12.198645598194132,0.4907672301690507,19.253302567060857
Shaquille O'Neal,1.06448035265489,38.51757369614513,26.738095238095237,2.8446712018140587,11.95124716553288,0.578839590443686,22.043543751136983
Michael Jordan,1.0516464714396234,40.78544776119403,30.12313432835821,5.254664179104478,6.223880597014926,0.4968822594449199,24.926374719594264
Karl Malone,1.049000103898476,36.38380758807588,25.018970189701896,3.5555555555555554,10.140243902439025,0.5161388782907287,21.010317217239116
Kareem Abdul-Jabbar,1.0192660685585542,36.78653846153846,24.60705128205128,3.628205128205128,11.179487179487179,0.5594729218921115,20.30476203739164
Charles Oakley,0.87954983535164,19.361076443057723,9.685647425897036,2.5093603744149764,9.52028081123245,0.4711098119458248,10.556985253959585
Moses Malone,0.8244507603762852,30.78449962377728,20.62377727614748,1.3513920240782544,12.198645598194132,0.4907672301690507,19.253302567060857
Charles Barkley,0.7632481348195024,35.03932898415657,22.140726933830383,3.928238583410997,11.692451071761417,0.5405318808074335,17.764686498855834
Moses Malone,0.754288971859217,27.574603174603173,17.23015873015873,1.1111111111111112,12.873015873015873,0.5521311475409836,15.357914475188657
Jerry West,0.7316050365606944,39.09957081545064,27.030042918454935,6.6931330472103,5.76824034334764,0.47372845733501473,22.546822345574363
Reggie Miller,0.7094945660038396,23.884521238300934,18.199424046076313,2.9812814974802015,3.0107991360691146,0.470941196639808,15.565407584729746
Hakeem Olajuwon,0.7038409512430175,32.50282714054927,21.765751211631663,2.470113085621971,11.104200323101777,0.5120766042589682,19.81757546977817
John Stockton,0.6799847897120032,27.60186170212766,13.105718085106384,10.509308510638299,2.69281914893617,0.5153756040415873,12.215987438500994
Oscar Robertson,0.6795337085095805,42.34346153846154,25.682692307692307,9.506730769230769,7.503846153846154,0.48460754332313966,19.409615822813652
